applied subject,year until now,GPA,current subject,is honor college,GMAT,GRE,english test exempted,TOFEL,IELTS,internship,result
Classics and Ancient History,0,2.96,Arts and Humanities,0,0,183.2,0,107.04,0,0,0
Classics and Ancient History,9,3.69,Classics and Ancient History,1,0,314.43,1,0,0,1,0
Performing Arts,6,3.72,Performing Arts,1,753.99,303.5,0,111.49,7.96,0,1
Engineering - Civil and Structural,3,3.19,Engineering - Civil and Structural,1,0,310.93,0,0,6.35,0,1
Geophysics,1,3.5,Geophysics,1,736.34,0,0,97.6,0,1,1
History,1,3.52,Development Studies,1,721.23,0,0,0,8.47,1,1
Archaeology,6,2.26,Engineering - Petroleum,0,0,260.38,0,106.11,0,0,0
Archaeology,0,3.19,Archaeology,1,0,302.27,1,0,0,1,1
Biological Sciences,7,2.13,Art and Design,1,0,255.72,0,119.83,8.51,0,0
Classics and Ancient History,1,3.06,Education and Training,1,0,325.03,1,0,0,1,1
Earth and Marine Sciences,6,3.24,Earth and Marine Sciences,1,0,328.41,0,0,7.47,1,1
Anatomy and Physiology,0,3.62,Anatomy and Physiology,1,0,313.23,0,0,6.46,0,1
Classics and Ancient History,4,3.62,Classics and Ancient History,1,0,315.69,0,0,7.51,1,1
Library and Information Management,10,2.45,Data Science,0,641.96,0,0,0,7.65,0,0
Geology,2,3.23,Geology,0,783.32,302.55,0,0,7.9,0,1
Life Sciences and Medicine,7,2.58,Biological Sciences,0,400.93,0,0,0,6.33,0,1
Engineering - Chemical,3,3.97,Engineering - Chemical,1,0,322.11,1,0,0,0,1
Statistics and Operational Research,5,3.61,Statistics and Operational Research,0,750.75,0,1,0,0,0,1
Geophysics,0,2.17,Library and Information Management,1,0,250.89,1,0,0,0,0
"Theology, Divinity and Religious Studies",3,3.85,"Theology, Divinity and Religious Studies",1,716.68,0,1,0,0,1,1
Pharmacy and Pharmacology,5,3.4,Pharmacy and Pharmacology,1,0,316.72,0,0,7.12,1,1
Marketing,1,3.08,Biological Sciences,0,0,270.43,0,0,6.72,0,0
Nursing,2,3.74,Materials Sciences,1,776.32,317.87,1,0,0,1,1
Agriculture and Forestry,1,3.19,Anatomy and Physiology,1,412.98,0,1,0,0,0,0
Engineering - Electrical and Electronic,0,3.15,Engineering - Electrical and Electronic,1,0,332.56,1,0,0,1,1
Library and Information Management,0,3.56,Library and Information Management,1,0,322.49,0,83.65,0,1,1
English Language and Literature,5,3.93,English Language and Literature,1,714.74,323.76,0,87.44,0,1,0
Agriculture and Forestry,0,2.55,Agriculture and Forestry,0,0,244.24,1,0,0,0,0
"Theology, Divinity and Religious Studies",9,3.09,"Theology, Divinity and Religious Studies",1,716.43,307.7,1,0,0,1,0
Library and Information Management,1,3.87,Library and Information Management,1,784.74,0,0,0,8.54,1,0
Business and Management Studies,9,3.46,Business and Management Studies,1,794.17,0,0,93.05,0,1,1
Environmental Sciences,0,2.54,Medicine,0,424.72,0,1,0,0,0,0
Communication and Media Studies,6,3.57,Communication and Media Studies,1,747.14,0,1,0,0,1,1
Dentistry,0,3.41,Dentistry,0,726.56,325.2,1,0,0,1,1
Accounting and Finance,6,3.16,Accounting and Finance,1,0,324.85,1,0,0,1,1
Computer Science and Information Systems,2,3.03,Computer Science and Information Systems,0,707.4,0,0,0,7.45,0,1
Sports-Related Subjects,0,3.94,Sports-Related Subjects,0,0,325.23,1,0,0,0,0
English Language and Literature,8,3.91,English Language and Literature,1,731.0,0,1,0,0,1,1
Accounting and Finance,0,3.99,Accounting and Finance,1,0,326.5,1,0,0,1,1
Engineering - Electrical and Electronic,5,3.65,Business and Management Studies,1,0,310.54,0,117.72,0,0,1
Nursing,7,3.32,Arts and Humanities,0,0,311.38,0,0,6.08,1,0
Linguistics,1,3.51,Linguistics,0,0,333.63,1,0,0,1,1
Nursing,4,3.49,Nursing,0,778.3,0,0,83.55,7.33,0,1
Medicine,7,3.67,Pharmacy and Pharmacology,1,0,308.73,1,0,0,1,0
Mathematics,6,2.85,Social Policy and Administration,0,0,199.82,0,0,6.24,0,0
Biological Sciences,9,2.44,Sociology,1,0,277.53,0,100.6,6.69,1,1
Earth and Marine Sciences,1,3.56,Earth and Marine Sciences,1,720.39,327.07,1,0,0,0,1
Library and Information Management,4,3.48,Library and Information Management,1,755.16,0,1,0,0,1,1
Biological Sciences,10,3.22,Biological Sciences,1,779.71,320.7,0,0,7.25,1,1
Art and Design,0,3.5,Art and Design,1,0,313.78,1,0,0,1,0
Engineering - Mechanical,7,3.41,Accounting and Finance,1,799.13,0,0,97.29,0,1,1
Politics,8,3.09,Biological Sciences,0,594.28,0,1,0,0,0,0
Performing Arts,9,3.77,Performing Arts,0,0,314.62,0,0,8.99,1,0
Biological Sciences,6,2.56,Engineering - Petroleum,0,602.1,0,1,0,0,1,1
Engineering - Mineral and Mining,9,3.59,Psychology,1,0,324.66,0,0,8.17,1,0
Modern Languages,4,3.21,Engineering - Civil and Structural,1,754.16,337.44,0,81.12,8.88,1,1
Physics and Astronomy,0,3.35,English Language and Literature,1,0,311.4,0,0,8.17,1,1
Materials Sciences,1,3.11,Biological Sciences,1,762.13,0,0,81.53,0,1,0
Anthropology,10,3.8,Anthropology,1,780.7,320.81,0,0,8.69,1,1
Archaeology,3,2.26,Library and Information Management,0,315.15,0,1,0,0,0,1
Arts and Humanities,7,3.26,Arts and Humanities,1,741.44,309.81,0,0,8.53,1,1
Veterinary Science,6,3.55,Data Science,1,720.03,329.11,1,0,0,1,1
Pharmacy and Pharmacology,1,2.57,Engineering and Technology,0,505.62,250.47,1,0,0,1,0
Development Studies,4,3.26,Social Sciences and Management,1,780.59,0,1,0,0,1,1
Geology,2,2.36,Engineering - Chemical,0,560.39,227.17,1,0,0,0,0
Law and Legal Studies,5,3.29,Law and Legal Studies,1,0,318.98,0,0,8.08,0,1
Computer Science and Information Systems,5,3.84,Computer Science and Information Systems,1,0,309.47,1,0,0,1,1
Social Policy and Administration,3,2.78,Engineering and Technology,0,619.78,0,1,0,0,0,0
Anthropology,4,3.25,Anthropology,1,0,317.18,0,106.29,0,1,1
Law and Legal Studies,0,3.58,"Theology, Divinity and Religious Studies",1,0,337.31,1,0,0,1,1
Education and Training,10,3.35,Education and Training,1,733.63,0,1,0,0,1,1
Politics,2,3.36,Classics and Ancient History,1,765.06,0,1,0,0,1,1
Agriculture and Forestry,3,3.71,Agriculture and Forestry,1,747.05,0,1,0,0,1,0
Development Studies,9,3.85,Engineering - Chemical,1,0,321.46,1,0,0,1,1
Philosophy,10,3.52,Philosophy,1,799.58,0,0,0,6.93,1,1
Law and Legal Studies,7,3.95,Law and Legal Studies,1,0,326.7,0,83.0,0,1,1
Engineering - Mineral and Mining,3,2.83,Life Sciences and Medicine,1,420.01,0,1,0,0,1,0
Engineering - Chemical,8,3.21,Performing Arts,0,0,272.68,0,88.19,0,1,0
English Language and Literature,2,3.5,Agriculture and Forestry,1,770.7,0,1,0,0,1,1
Physics and Astronomy,2,3.48,Physics and Astronomy,1,720.33,0,0,0,6.14,0,1
Social Policy and Administration,7,2.77,Social Sciences and Management,0,0,209.37,0,104.43,7.67,0,0
Art History,8,2.05,Earth and Marine Sciences,0,582.38,262.05,0,0,7.73,0,0
Life Sciences and Medicine,10,3.75,Life Sciences and Medicine,1,798.97,302.75,0,103.89,0,1,1
Pharmacy and Pharmacology,9,2.13,Architecture and Built Environment,1,0,193.42,0,0,8.85,0,0
Engineering and Technology,1,3.83,Engineering and Technology,1,0,338.35,1,0,0,1,1
Anatomy and Physiology,8,3.92,Performing Arts,1,735.4,305.89,0,81.62,0,0,1
Engineering - Chemical,1,2.79,Pharmacy and Pharmacology,1,0,248.92,1,0,0,0,0
Architecture and Built Environment,1,3.35,Architecture and Built Environment,1,759.18,0,0,0,7.37,0,1
Materials Sciences,2,3.78,Materials Sciences,1,797.37,0,1,0,0,1,1
History,2,3.45,History,1,701.26,317.8,1,0,0,1,1
Art History,6,3.99,Art History,1,776.05,319.35,1,0,0,1,1
Psychology,10,3.3,Arts and Humanities,1,0,228.54,0,0,6.09,0,0
Archaeology,9,3.28,Archaeology,1,720.07,0,1,0,0,1,1
Politics,8,3.68,Politics,1,0,324.03,0,0,7.94,0,0
Business and Management Studies,8,3.06,History,0,0,203.06,1,0,0,0,0
Politics,2,3.48,Politics,0,0,327.25,0,0,7.91,0,0
Pharmacy and Pharmacology,6,3.07,Pharmacy and Pharmacology,1,788.5,310.65,1,0,0,1,1
Anthropology,7,3.07,Sociology,0,370.2,0,0,0,7.96,0,1
Pharmacy and Pharmacology,10,3.78,Pharmacy and Pharmacology,1,714.45,0,0,108.22,7.88,1,1
Engineering - Mechanical,1,3.61,Engineering - Mechanical,1,788.3,0,1,0,0,1,1
Art History,6,3.64,Art History,1,0,333.4,0,83.94,0,0,1
Pharmacy and Pharmacology,0,3.52,Natural Sciences,1,751.16,311.7,0,94.21,6.0,1,1
Dentistry,3,2.5,Data Science,0,0,244.2,1,0,0,0,0
Life Sciences and Medicine,9,3.04,Life Sciences and Medicine,1,0,330.09,0,0,8.75,0,1
Engineering - Petroleum,4,3.06,Engineering - Petroleum,1,0,332.14,1,0,0,1,0
Nursing,0,3.24,Nursing,0,0,332.33,0,0,7.56,0,1
Classics and Ancient History,3,2.85,Law and Legal Studies,0,400.26,0,0,82.77,6.16,0,0
Arts and Humanities,6,3.82,Arts and Humanities,1,0,310.62,0,0,8.16,1,1
Life Sciences and Medicine,6,3.75,Life Sciences and Medicine,0,714.47,0,0,0,8.32,0,1
Social Policy and Administration,8,3.69,Social Policy and Administration,1,768.47,325.11,1,0,0,1,1
Art and Design,1,3.11,Art and Design,0,729.45,0,1,0,0,1,1
Anatomy and Physiology,0,3.19,Anatomy and Physiology,0,744.84,301.52,1,0,0,1,1
Engineering - Mineral and Mining,0,3.75,Engineering - Mineral and Mining,1,0,314.52,0,118.29,0,1,1
Linguistics,0,2.89,Materials Sciences,0,321.65,222.96,1,0,0,0,1
Classics and Ancient History,9,3.6,Chemistry,0,756.47,0,0,83.09,0,1,1
Modern Languages,8,3.97,Modern Languages,1,755.58,0,0,0,6.26,1,1
Data Science,1,2.97,Agriculture and Forestry,0,0,258.8,1,0,0,0,0
Life Sciences and Medicine,5,3.0,Social Policy and Administration,0,448.48,0,1,0,0,0,0
Modern Languages,8,3.45,Modern Languages,1,728.55,0,0,0,6.23,1,1
Sociology,2,3.06,Engineering - Civil and Structural,1,500.86,199.52,1,0,0,0,0
Art History,0,3.66,Art History,0,0,319.85,0,0,6.59,1,0
Performing Arts,7,3.76,Performing Arts,1,0,311.4,0,83.98,0,0,1
Biological Sciences,0,3.13,Dentistry,0,0,239.36,1,0,0,0,0
Engineering and Technology,5,3.31,Chemistry,0,732.74,0,1,0,0,1,1
Statistics and Operational Research,4,3.04,History,1,0,247.97,1,0,0,0,1
Medicine,5,3.66,Medicine,1,718.22,309.2,0,81.74,6.66,0,1
Archaeology,3,3.55,Nursing,1,0,332.59,1,0,0,1,0
Statistics and Operational Research,2,3.98,Statistics and Operational Research,1,768.34,0,0,109.43,0,1,1
Engineering and Technology,6,2.27,Arts and Humanities,1,0,257.55,0,98.4,8.75,0,0
Environmental Sciences,9,3.06,Environmental Sciences,1,734.87,0,1,0,0,1,1
Law and Legal Studies,4,3.55,Law and Legal Studies,1,0,337.21,0,115.85,0,1,1
Natural Sciences,3,2.09,Communication and Media Studies,0,582.7,0,1,0,0,0,0
Art History,6,2.4,Engineering and Technology,1,0,244.72,1,0,0,0,0
Business and Management Studies,3,3.73,Business and Management Studies,1,0,305.36,1,0,0,1,0
Chemistry,5,3.91,Chemistry,1,0,318.56,0,0,7.28,1,1
Life Sciences and Medicine,6,3.02,Life Sciences and Medicine,0,0,308.4,1,0,0,1,1
Biological Sciences,9,3.39,Biological Sciences,0,784.44,0,0,0,8.27,0,1
Computer Science and Information Systems,8,3.0,Computer Science and Information Systems,1,732.64,337.32,1,0,0,1,1
Life Sciences and Medicine,7,3.96,Life Sciences and Medicine,1,732.74,0,0,0,8.92,1,0
Modern Languages,10,3.12,Social Sciences and Management,0,382.29,0,0,82.71,7.09,0,0
Physics and Astronomy,4,3.21,Physics and Astronomy,1,0,319.23,1,0,0,1,1
Hospitality and Leisure Management,0,3.41,Hospitality and Leisure Management,1,797.58,0,0,113.94,0,1,1
Mathematics,10,3.54,Earth and Marine Sciences,1,796.46,301.48,0,99.02,0,0,1
Archaeology,7,3.38,"Theology, Divinity and Religious Studies",1,0,322.31,0,89.65,0,0,1
Art and Design,6,3.01,Art and Design,1,0,329.83,0,107.3,0,1,1
Engineering and Technology,1,2.89,Earth and Marine Sciences,0,0,184.19,0,109.91,6.19,0,0
Politics,2,3.92,Politics,1,0,322.09,1,0,0,1,1
Anthropology,5,3.45,Sports-Related Subjects,1,0,339.59,1,0,0,1,1
Education and Training,3,3.61,Education and Training,1,773.34,0,0,116.48,7.21,1,1
Statistics and Operational Research,7,3.9,Statistics and Operational Research,1,709.41,326.5,1,0,0,0,1
Sports-Related Subjects,6,3.15,Sports-Related Subjects,1,0,339.42,1,0,0,0,1
Art and Design,4,3.11,Engineering - Civil and Structural,1,770.4,311.72,0,0,7.13,0,1
Veterinary Science,4,3.55,Veterinary Science,1,0,309.03,0,0,7.29,1,1
Computer Science and Information Systems,8,2.3,Geography,0,439.54,197.46,0,98.41,0,0,0
Archaeology,3,3.44,English Language and Literature,1,749.71,0,0,0,6.17,1,1
Politics,0,2.66,Earth and Marine Sciences,0,522.36,0,0,0,6.22,0,0
Engineering and Technology,9,2.78,Dentistry,0,342.33,0,0,103.59,7.71,0,0
Engineering and Technology,3,3.32,Engineering - Mineral and Mining,1,0,331.56,1,0,0,1,1
Geology,9,3.17,Geology,0,723.17,0,1,0,0,1,1
English Language and Literature,6,3.55,English Language and Literature,0,778.17,0,1,0,0,1,1
Psychology,6,3.74,Psychology,0,763.87,0,1,0,0,0,0
Politics,7,3.52,Politics,1,773.12,314.54,0,83.37,0,1,1
Communication and Media Studies,9,2.55,Library and Information Management,0,0,188.39,0,113.31,7.62,0,0
Engineering - Electrical and Electronic,5,3.35,Engineering - Electrical and Electronic,0,0,320.54,0,81.76,0,1,0
Marketing,10,3.23,Marketing,1,777.66,0,0,83.03,0,1,1
Mathematics,3,2.56,Linguistics,0,485.34,0,1,0,0,1,0
Data Science,7,3.0,Data Science,1,0,321.13,0,91.63,0,1,1
Archaeology,5,3.24,Archaeology,1,776.58,306.35,1,0,0,1,1
Nursing,6,2.58,Engineering - Civil and Structural,0,0,279.08,1,0,0,0,0
Agriculture and Forestry,3,3.32,Agriculture and Forestry,1,799.08,318.62,0,104.45,8.4,1,1
Philosophy,4,3.53,Philosophy,1,0,322.32,1,0,0,1,1
English Language and Literature,10,3.06,English Language and Literature,1,0,324.17,1,0,0,1,1
Life Sciences and Medicine,3,3.83,Life Sciences and Medicine,1,0,319.13,1,0,0,1,1
Hospitality and Leisure Management,1,3.19,Hospitality and Leisure Management,1,0,317.37,1,0,0,1,0
Environmental Sciences,9,3.2,Politics,1,748.88,331.76,1,0,0,1,1
Psychology,6,3.31,Psychology,1,0,304.7,0,0,7.46,1,0
Statistics and Operational Research,0,3.76,Statistics and Operational Research,1,713.92,0,1,0,0,1,0
Marketing,2,3.85,Marketing,1,743.71,333.27,1,0,0,1,1
Hospitality and Leisure Management,3,3.39,Hospitality and Leisure Management,1,783.14,0,1,0,0,0,1
Engineering and Technology,2,3.17,Engineering - Petroleum,0,396.21,0,1,0,0,1,1
Archaeology,4,3.14,Archaeology,1,795.47,310.45,1,0,0,1,1
Nursing,10,2.69,Geography,0,0,234.0,1,0,0,0,0
Social Policy and Administration,8,3.81,Social Policy and Administration,0,0,324.66,1,0,0,1,1
Statistics and Operational Research,10,3.15,Statistics and Operational Research,1,0,300.73,0,80.78,0,1,1
Psychology,8,3.2,Psychology,1,0,331.15,0,0,7.7,1,1
Agriculture and Forestry,4,3.97,Agriculture and Forestry,1,0,339.44,0,92.72,0,1,1
Anatomy and Physiology,3,3.54,Anatomy and Physiology,0,0,309.78,1,0,0,1,0
Pharmacy and Pharmacology,1,3.88,Sociology,1,778.12,0,1,0,0,0,1
Engineering - Mineral and Mining,3,3.91,Engineering - Mineral and Mining,1,768.63,334.53,1,0,0,1,1
History,1,2.47,Development Studies,0,0,250.84,0,82.66,0,0,0
Statistics and Operational Research,9,3.01,Statistics and Operational Research,1,725.41,0,1,0,0,1,1
Engineering - Mechanical,1,2.68,Politics,0,0,229.88,0,92.17,0,0,0
Sociology,1,3.35,Sociology,1,750.55,0,0,0,7.35,1,1
Geography,8,3.25,Engineering and Technology,1,764.14,311.21,1,0,0,0,1
Geophysics,2,3.1,Geophysics,1,0,324.61,1,0,0,1,1
Geography,7,3.67,Geography,1,0,300.67,0,0,8.82,1,1
Engineering - Petroleum,10,3.48,Engineering - Petroleum,0,723.84,0,1,0,0,0,0
Engineering - Petroleum,10,3.2,Engineering - Petroleum,1,782.76,0,0,83.37,0,1,1
Education and Training,3,3.45,Education and Training,1,0,308.36,0,0,6.72,1,1
Biological Sciences,7,2.34,Art History,0,631.84,0,0,111.52,0,0,0
Life Sciences and Medicine,9,3.65,Life Sciences and Medicine,1,727.26,0,0,0,8.98,0,1
Archaeology,1,3.22,Earth and Marine Sciences,1,0,332.49,1,0,0,1,1
Veterinary Science,4,2.43,Art History,0,320.14,0,1,0,0,0,0
Art and Design,0,3.41,Art and Design,0,773.82,0,1,0,0,1,1
Engineering - Mineral and Mining,5,3.06,Engineering - Mineral and Mining,0,719.34,0,0,82.32,0,1,0
Psychology,0,3.17,Philosophy,0,340.68,0,0,93.68,0,1,0
Biological Sciences,1,3.74,Materials Sciences,1,0,320.65,0,0,7.99,1,1
Modern Languages,5,3.93,Modern Languages,1,0,315.51,0,0,7.37,1,1
Physics and Astronomy,10,3.19,Physics and Astronomy,1,0,302.11,1,0,0,1,1
Engineering - Civil and Structural,7,3.33,Engineering - Civil and Structural,0,0,312.65,0,0,7.64,1,1
Politics,3,3.42,Politics,1,752.4,0,1,0,0,1,1
Arts and Humanities,7,3.82,Arts and Humanities,1,738.93,0,1,0,0,1,1
Agriculture and Forestry,10,3.47,Agriculture and Forestry,0,0,304.85,0,81.21,7.75,1,1
Hospitality and Leisure Management,10,3.44,Hospitality and Leisure Management,1,701.77,0,0,0,6.37,1,1
Linguistics,8,3.42,Linguistics,1,0,321.8,0,99.06,0,1,1
Geophysics,7,3.12,Social Policy and Administration,0,0,267.81,1,0,0,0,0
Materials Sciences,6,3.03,Materials Sciences,1,778.83,0,0,96.17,0,1,1
Engineering - Chemical,2,2.55,Modern Languages,0,437.21,266.16,1,0,0,0,0
Environmental Sciences,1,3.31,Business and Management Studies,1,758.1,330.0,0,114.75,0,1,1
Education and Training,9,3.68,Engineering and Technology,0,763.19,334.28,0,0,8.3,0,1
Chemistry,10,3.58,Psychology,0,770.8,0,1,0,0,1,1
Engineering - Chemical,5,3.44,Engineering - Chemical,1,0,308.58,1,0,0,1,1
Library and Information Management,9,3.85,Library and Information Management,1,0,325.84,0,0,6.0,1,1
Performing Arts,5,3.03,Performing Arts,0,790.83,0,1,0,0,1,1
Materials Sciences,1,3.37,Materials Sciences,1,772.1,308.08,1,0,0,1,1
Linguistics,3,3.89,Linguistics,1,0,330.43,0,0,7.38,1,1
Data Science,8,3.56,Data Science,1,0,332.83,0,0,6.67,1,1
Earth and Marine Sciences,0,2.29,Natural Sciences,0,609.69,0,0,0,7.05,0,0
Engineering - Civil and Structural,2,3.06,Engineering - Civil and Structural,1,721.37,0,0,115.01,0,1,0
Geography,3,3.36,Geography,1,0,308.61,1,0,0,0,1
Communication and Media Studies,1,3.29,Communication and Media Studies,1,0,314.74,0,0,6.68,1,0
Anthropology,3,3.0,Anthropology,1,706.14,0,1,0,0,1,1
Engineering - Chemical,10,2.43,Medicine,1,542.98,261.67,1,0,0,0,0
Engineering - Petroleum,7,3.85,Engineering - Petroleum,0,0,300.35,1,0,0,1,1
History,5,3.74,History,1,741.16,0,1,0,0,1,1
Data Science,7,3.0,Sociology,0,781.28,0,1,0,0,0,1
Politics,10,3.4,Politics,1,0,309.69,1,0,0,1,0
Pharmacy and Pharmacology,8,2.4,Performing Arts,0,641.73,0,1,0,0,1,0
Sports-Related Subjects,0,3.72,Sports-Related Subjects,1,0,332.04,1,0,0,1,0
Materials Sciences,5,3.01,Materials Sciences,0,776.57,0,0,0,8.36,0,1
Materials Sciences,5,3.02,Art History,1,759.87,0,1,0,0,1,1
Engineering - Mechanical,0,2.64,Geophysics,0,0,218.26,1,0,0,0,0
Classics and Ancient History,6,2.14,Materials Sciences,0,618.13,221.87,0,0,6.26,0,0
Social Policy and Administration,0,3.56,Social Policy and Administration,1,776.05,0,0,115.2,0,1,1
Library and Information Management,5,3.94,Library and Information Management,1,0,312.03,1,0,0,1,1
Engineering - Civil and Structural,9,3.03,Engineering - Civil and Structural,1,727.16,0,1,0,0,1,1
English Language and Literature,6,3.78,English Language and Literature,1,769.86,306.42,0,0,6.21,1,1
Engineering - Mineral and Mining,2,3.48,Engineering - Mineral and Mining,1,0,331.24,0,114.92,0,1,1
Performing Arts,7,3.05,Performing Arts,1,0,307.67,0,0,8.05,0,1
Philosophy,10,3.01,Library and Information Management,0,0,321.14,0,0,6.65,0,1
Biological Sciences,1,3.08,Biological Sciences,1,0,319.96,0,0,8.99,1,1
Computer Science and Information Systems,4,2.85,Engineering - Electrical and Electronic,0,379.66,0,1,0,0,1,0
Philosophy,6,3.05,Philosophy,1,797.39,0,0,0,8.65,1,1
Performing Arts,7,3.38,Performing Arts,1,763.07,300.97,1,0,0,1,1
Performing Arts,0,2.99,Engineering - Petroleum,1,0,249.35,1,0,0,1,0
Mathematics,4,2.89,Pharmacy and Pharmacology,0,0,246.5,1,0,0,0,0
Library and Information Management,1,3.65,Library and Information Management,1,715.55,304.78,0,0,8.25,1,1
Geography,7,2.51,Pharmacy and Pharmacology,0,0,220.99,0,0,7.59,0,0
Engineering and Technology,8,2.17,Archaeology,0,541.19,0,1,0,0,0,0
Anthropology,8,3.81,Anthropology,1,715.28,0,0,96.34,0,1,0
Philosophy,1,2.6,Linguistics,0,0,226.0,0,113.52,0,0,0
Data Science,6,3.35,Data Science,1,0,320.3,0,91.54,8.89,0,0
Physics and Astronomy,6,3.9,Physics and Astronomy,1,0,315.97,0,0,6.63,0,1
Engineering - Mechanical,9,2.87,Communication and Media Studies,0,0,256.39,0,113.19,0,0,0
Anthropology,0,3.17,Anthropology,0,0,335.41,0,0,8.06,1,1
"Theology, Divinity and Religious Studies",4,3.09,Geophysics,1,345.77,0,0,0,6.58,0,0
Nursing,8,2.32,Engineering - Chemical,0,0,217.39,0,0,7.34,1,0
Hospitality and Leisure Management,4,3.22,Hospitality and Leisure Management,1,761.09,326.36,1,0,0,1,1
Data Science,9,2.92,Modern Languages,0,0,181.08,0,0,8.32,0,0
Philosophy,7,3.57,Engineering - Electrical and Electronic,1,0,315.73,1,0,0,1,0
